Team,Vote Points,Reason
26,5.0,"['ชอบไอเดียมากๆเลยค่ะ ตอนพรีก็ดีค่ะ', 'เพราะ เป็นหัวข้อที่น่าสนใจและการพรีเซนทำได้ดี', 'ไอเดียดีมากสามรถไปต่อยอดได้ ต้นทุนการทําโปรเจคนี้น่าจะไม่เยอะมากเหมาะสมกับการเป็น Start up', 'เป็นแอปที่คิดว่าอาจตอบโจทย์ผู้ใช้หลายคน เป็นแอปที่ผมมองอาจเป็นนวัตกรรมใหม่', 'มีการนำเสนอที่น่าสนใจเเละมีการทำ Business plan ที่เห็นถึงความเป็นไปได้จริง']"
24,5.0,"['ทีม 24 นั้นเข้าใจในปัญหาที่ตัวเองต้องแก้ได้ดีและนำเสนอได้เข้าใจง่าย', 'รักหมาแมว ครับ', 'ความคิดน่าสนใจ โดยเฉพาะตอนที่รถติดแออัด การเกิดอุบัติเหตุจะเกิดขึ้นได้บ่อย และต่างจังหวัดจะเกิดอุบัติเหตุได้ง่ายมากจากการขับที่เร็ว ความช่วยเหลือจะมาได้ทันเวลา และช่วยชีวิตคนได้มากขึ้น', 'การเตรียมข้อมูลหรือ research มาดีมาก มีการเปรียบเทียบในปัจจัยต่างๆ ได้ครบถ้วน แอปมีความเป็นไปได้ และ pitching ได้ดี', 'เพราะ การนำเสนอน่าสนทำสไลด์มาดีมากทำให้เห็นภาพตอนนำเสนอได้ดี']"
6,5.0,"['เพราะหัวข้อมินิโปรเจคที่ทำเป็นประโยชน์กับนักศึกษา', nan, 'ช่วยให้ติดต่อกับอาจารย์ได้ง่าย รวบรวมไว้ที่ช่องทางเดียว', '👍🏻 ']"
4,5.0,"['เรียบง่าย clean น่าใช้', 'เพราะว่าท่องเที่ยวในเกมได้ด้วยค่ะ!', 'มีการประยุกต์ใช้เทคโนโลยีคล้ายๆกัน เจ๋งดี', nan]"
38,4.0,['แนวคิดของเพื่อนน่าสนใจมาก ๆ เริ่มจากชุมชนเล็ก คิดว่าถ้าทำได้จะดีต่อชุมชนมาก']
10,4.0,[nan]
31,4.0,['ชอบเพราะมีความรักโลก ประหยัดพลังงาน ทางเดียวกันไปด้วยกัน ช่วยลดมลพิษ และแก้ปัญหารถติด']
36,4.0,"['ชอบไอเดียและการนำเสนอ', 'เป็นการนำเสนอที่ดี มีการหาข้อมูลอ้างอิง', 'เป็นประโยชน์ และตอบโจทย์สำหรับคนขึ้นรถประจำทาง']"
18,3.0,"['ชอบการนำเสนอและงานของกลุ่มนี้', 'หัวข้อดูเป็นเรื่องที่สามารถทำได้แล้วเข้าถึงช่วยอายุเรามากที่สุด']"
19,3.0,"['รู้สึกโปรเจ็คเป็นไปได้จริง เป็นประโยชน์ต่อสังคมและสิ่งแวดล้อม', 'โปรเจกต์มีความรอบคอบ เนื้อหาเยอะ ไอเดียน่าสนใจ']"
